Mouser Part Number,Quantity,Manufacturer Part Number,Description,Product URL,Notes
761-M1257-3005-N,20,M1257-3005-N,"M3 x 0.5 nylon female/female standoff, 10 mm",https://www.mouser.com/en/ProductDetail/RAF-Electronic-Hardware/M1257-3005-N?qs=dwkm%252BGAHGA355LT4uKcugA%3D%3D,Four insulating feet per PCB
534-29341,20,29341,M3 x 6 mm nylon screw,https://www.mouser.com/en/ProductDetail/Keystone-Electronics/29341?qs=UWqYQ%2F2cZWvoES94dEyCJQ%3D%3D,Four screws per PCB; attach standoff feet from above
709-GSM18U05-P1J,5,GSM18U05-P1J,Regulated 5 V / 3 A wall supply — US plug,https://www.mouser.com/en/ProductDetail/MEAN-WELL/GSM18U05-P1J?qs=y5B8D4YB%2F3Q73ALXdTERfw%3D%3D,One regulated 5 V / 3 A US-plug supply per unit
485-368,5,368,5.5 × 2.1 mm female barrel-to-screw-terminal adapter,https://www.mouser.com/en/ProductDetail/Adafruit/368?qs=GURawfaeGuDj%2FuiL%252B50YjQ%3D%3D,One female barrel adapter per unit; short wires connect to PCB J1
490-SDR-70,10,SDR-70,7-pin DIN male cable plug — solder terminals,https://www.mouser.com/en/ProductDetail/Same-Sky/SDR-70?qs=WyjlAZoYn525nOK6Wu9GaQ%3D%3D,Two full-size 7-pin male plugs per unit; custom cables
545-P222006,10,P222-006,PS/2 male-to-female extension cable — 6 ft,https://www.mouser.com/en/ProductDetail/Tripp-Lite/P222-006?qs=sukvznpo3Fq6Bwrm0MV4eQ%3D%3D,One male PS/2 end per cable; two cables per unit
485-1311,1,1311,22 AWG solid-core hookup wire — six-color spool set,https://www.mouser.com/en/ProductDetail/Adafruit/1311?qs=GURawfaeGuBbUKgxUfZ%252BxQ%3D%3D,ONE six-color 22 AWG wire set shared across five builds
474-PRT-09353,1,PRT-09353,Heat-shrink assortment,https://www.mouser.com/en/ProductDetail/SparkFun/PRT-09353?qs=WyAARYrbSnbX2QgoKpWtUQ%3D%3D,ONE heat-shrink assortment shared across cable joints
485-4474,1,4474,USB-A to USB-C data cable — approximately 1 m,https://www.mouser.com/en/ProductDetail/Adafruit/4474?qs=CUBnOrq4ZJz9F%2FNF%252BRRALQ%3D%3D,ONE programming cable shared across five modules
485-850,1,850,"Multimeter for DC voltage, resistance and continuity",https://www.mouser.com/en/ProductDetail/Adafruit/850?qs=GURawfaeGuBADKQ4LzdFCg%3D%3D,ONE shared bench multimeter; remove only if already owned
